Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
AMD EPYC 7402;CPU;2019-08-07;70;1800;740;38000;28000;TSMC;AMD;;;
Intel Core i7-11700T;CPU;2021-03-16;140;350;;;14000;Intel;Intel;;;
Intel Pentium 4 1.9;CPU;2001-08-27;1800;690;2170;420;19000;Intel;Intel;;;
AMD Opteron 6284 SE;CPU;2012-05-01;320;1400;3160;24000;27000;Unknown;AMD;;;
AMD Turion X2 RM-74;CPU;2008-12-01;650;350;;;22000;Unknown;AMD;;;
AMD Opteron 4340;CPU;2012-12-04;320;950;3150;12000;35000;Unknown;AMD;;;
AMD Athlon 64 3700+;CPU;2005-04-14;1300;830;;1050;24000;Unknown;AMD;;;
AMD Athlon II X4 638;CPU;2012-02-06;320;650;2280;11780;27000;Unknown;AMD;;;
AMD Sempron 3800+;CPU;2006-10-23;900;620;1030;810;22000;Unknown;AMD;;;
Intel Pentium 2117U;CPU;2012-09-01;220;170;1180;14000;18000;Intel;Intel;;;
AMD Athlon 800;CPU;2000-06-05;1800;450;1200;370;8000;Unknown;AMD;;;
Intel Core 2 Quad Q7600;CPU;2009-08-31;450;950;820;4560;27000;Intel;Intel;;;
Intel Xeon E7-8870;CPU;2011-04-03;320;1300;5130;26000;24000;Intel;Intel;;;
AMD FX-8350;CPU;2012-10-23;320;1250;3150;12000;40000;Unknown;AMD;;;
AMD Athlon 64 X2 4400+ EE;CPU;2006-05-23;900;650;2200;1540;22000;Unknown;AMD;;;
Intel Core 2 Duo T5200;CPU;2006-07-27;650;350;1430;;16000;Intel;Intel;;;
AMD Opteron 4386;CPU;2012-12-04;320;950;3150;12000;31000;Unknown;AMD;;;
Intel Xeon W5580;CPU;2009-03-30;450;1300;2630;7310;32000;Intel;Intel;;;
AMD Athlon X2 BE-2400;CPU;2007-10-08;650;450;1260;1540;23000;Unknown;AMD;;;
AMD Phenom II X4 920;CPU;2009-01-08;450;1250;2580;7580;28000;Unknown;AMD;;;
Intel Core i3-7350K;CPU;2017-01-03;140;600;;;42000;Intel;Intel;;;
AMD Sempron 2500+;CPU;2005-07-07;900;620;840;630;14000;Unknown;AMD;;;
Intel Xeon Phi 7235;CPU;2017-12-01;140;2500;;80000;13000;Intel;Intel;;;
AMD Sempron 3500+;CPU;2005-10-01;900;620;840;630;20000;Unknown;AMD;;;
AMD Opteron 250;CPU;2004-05-18;1300;890;1930;1060;24000;Unknown;AMD;;;
Intel Xeon MP 7030 Dual-Core;CPU;2005-12-01;900;1350;2130;2000;28330;Intel;Intel;;;
Intel Core i5-9600K;CPU;2018-10-19;140;950;;;37000;Intel;Intel;;;
AMD FX-8170;CPU;2012-10-23;320;1250;3150;12000;39000;Unknown;AMD;;;
AMD Opteron 850;CPU;2004-12-01;900;850;;1060;24000;Unknown;AMD;;;
Intel Core i5-10300H;CPU;2020-09-17;140;450;;;25000;Intel;Intel;;;
Intel Core i7-5557U;CPU;2015-03-01;140;280;;;31000;Intel;Intel;;;
Intel Core i7-2860QM;CPU;2011-09-04;320;450;2160;11600;25000;Intel;Intel;;;
Intel Core i7-9750HF;CPU;2019-04-23;140;450;1490;;26000;Intel;Intel;;;
Intel Pentium 350;CPU;2011-11-21;320;150;1310;5040;12000;Intel;Intel;;;
AMD Ryzen 5 2600X;CPU;2018-04-19;120;950;1920;48000;36000;GF;AMD;;;
Intel Core M-5Y70;CPU;2014-09-05;140;50;500;;11000;Intel;Intel;;;
Intel Pentium 4 HT 2.40;CPU;2003-05-21;1300;660;1310;550;24000;Intel;Intel;;;
AMD Ryzen 7 4700U;CPU;2020-01-06;70;250;1560;98000;18000;TSMC;AMD;;;
Intel Atom E620T;CPU;2010-09-14;450;30;260;470;6000;Intel;Intel;;;
AMD Opteron 43GK HE;CPU;2012-12-04;320;650;3150;12000;26000;Unknown;AMD;;;
AMD Athlon X2 7450;CPU;2008-12-15;650;950;2850;4500;24000;Unknown;AMD;;;
Intel Atom E3825;CPU;2013-10-08;220;60;;;13330;Intel;Intel;;;
Intel Celeron N2808;CPU;2014-05-22;220;40;;;15800;Intel;Intel;;;
AMD Ryzen 5 1500X;CPU;2017-04-11;140;650;1920;48000;35000;GF;AMD;;;
AMD Athlon 64 X2 4400+;CPU;2006-05-23;900;1100;1990;2330;22000;Unknown;AMD;;;
AMD A4-4300M;CPU;2012-05-15;320;350;2460;13030;25000;Unknown;AMD;;;
Intel Core i5-670;CPU;2010-01-07;320;730;810;3820;34660;Intel;Intel;;;
Intel Xeon Platinum 8358;CPU;2021-04-06;100;2500;;;26000;Intel;Intel;;;
Intel Core 2 Duo U7600;CPU;2007-04-27;650;100;1110;2930;12000;Intel;Intel;;;
Intel Core i7-4760HQ;CPU;2014-02-01;220;470;2640;14000;21000;Intel;Intel;;;
Intel Pentium D 940;CPU;2006-01-16;650;1300;1400;3760;32000;Intel;Intel;;;
AMD Turion 64 MT-37;CPU;2005-08-08;900;250;1250;1140;20000;Unknown;AMD;;;
Intel Core i5-4300M;CPU;2013-09-01;220;370;1180;14000;26000;Intel;Intel;;;
Intel Core i7-3635QM;CPU;2012-09-01;220;450;1600;14800;24000;Intel;Intel;;;
AMD Opteron 6376;CPU;2012-11-05;320;1150;3150;24000;23000;Unknown;AMD;;;
AMD EPYC 72F3;CPU;2021-03-15;70;1800;;;37000;TSMC;AMD;;;
AMD Opteron 244;CPU;2003-08-05;1300;820;1930;1060;18000;Unknown;AMD;;;
Intel Core i5-3330S;CPU;2012-09-03;220;770;1330;;27000;Intel;Intel;;;
Intel Xeon Platinum 8352S;CPU;2021-04-06;100;2050;;;22000;Intel;Intel;;;
Intel Pentium 4 2.40;CPU;2004-03-01;900;1100;1090;1250;24000;Intel;Intel;;;
Intel Xeon MP 3.00;CPU;2005-03-29;900;1350;;2860;30000;Intel;Intel;;;
Intel Xeon E5-2695 v2;CPU;2013-09-01;220;1150;1600;14000;24000;Intel;Intel;;;
Intel Pentium M 725;CPU;2004-06-23;900;210;840;1400;16000;Intel;Intel;;;
AMD Sempron 2800+;CPU;2005-07-15;900;250;;690;16000;Unknown;AMD;;;
Intel Xeon 5110;CPU;2006-06-26;650;650;;;16000;Intel;Intel;;;
AMD A4-3320M;CPU;2011-12-20;320;350;2280;11780;20000;Unknown;AMD;;;
Intel Mobile Pentium 4 2.80;CPU;2003-06-11;1300;680;1310;550;28000;Intel;Intel;;;
Intel Core i7-4960X;CPU;2013-09-03;220;1300;2570;18600;36000;Intel;Intel;;;
Intel Core i3-9350K;CPU;2019-04-23;140;910;;;40000;Intel;Intel;;;
AMD Athlon II X2 250e;CPU;2010-09-21;450;450;1170;4100;30000;Unknown;AMD;;;
AMD Athlon 64 X2 6000+;CPU;2007-08-20;650;890;1260;1540;31000;Unknown;AMD;;;
AMD Athlon 64 LE-1620;CPU;2007-10-08;900;450;2300;2270;24000;Unknown;AMD;;;
Intel Celeron 2.40;CPU;2003-03-31;1300;730;1460;550;24000;Intel;Intel;;;
AMD EPYC 7232P;CPU;2019-08-07;70;1200;740;38000;31000;TSMC;AMD;;;
Intel Atom CE4150;CPU;2009-09-24;450;70;260;470;12000;Intel;Intel;;;
AMD Athlon II X2 220;CPU;2010-09-21;450;650;1170;4100;28000;Unknown;AMD;;;
AMD Opteron 4334;CPU;2012-12-04;320;950;3150;12000;31000;Unknown;AMD;;;
Intel Core i9-9940X;CPU;2018-10-19;140;1650;;;33000;Intel;Intel;;;
Intel Core 2 Quad Q9400;CPU;2008-08-10;450;950;810;4560;26660;Intel;Intel;;;
Intel Xeon E7-8891 v3;CPU;2015-06-01;220;1650;1600;14000;28000;Intel;Intel;;;
Intel Pentium 967;CPU;2011-10-02;320;170;1310;5040;13000;Intel;Intel;;;
Intel Core i9-9990XE;CPU;2018-10-19;140;2550;;;40000;Intel;Intel;;;
Intel Core i7-1160G7;CPU;2020-09-02;100;150;;;12000;Intel;Intel;;;
AMD Athlon 900;CPU;2000-06-05;1800;500;1200;370;9000;Unknown;AMD;;;
Intel Celeron G460;CPU;2011-12-12;320;350;1310;5040;18000;Intel;Intel;;;
Intel Core i7-6700T;CPU;2015-09-01;140;350;;;28000;Intel;Intel;;;
AMD FX-6350;CPU;2013-04-29;320;1250;3150;12000;39000;Unknown;AMD;;;
Intel Celeron G3900;CPU;2015-09-01;140;510;1500;14000;28000;Intel;Intel;;;
Intel Pentium G850;CPU;2011-05-22;320;650;1310;5040;29000;Intel;Intel;;;
AMD EPYC 7742;CPU;2019-08-07;70;2250;740;38000;22500;TSMC;AMD;;;
Intel Core i7-4810MQ;CPU;2014-01-20;220;470;1770;14000;28000;Intel;Intel;;;
Intel Core i9-9920X;CPU;2018-10-19;140;1650;;;35000;Intel;Intel;;;
Intel Core 2 Duo E8600;CPU;2008-08-08;450;650;1070;4100;33330;Intel;Intel;;;
AMD Sempron LE-1150;CPU;2007-08-01;650;450;;;20000;Unknown;AMD;;;
AMD Phenom II X6 1090T BE;CPU;2010-04-27;450;1250;3460;9040;32000;Unknown;AMD;;;
Intel Xeon 7130M;CPU;2006-08-27;650;1500;4350;13280;32000;Intel;Intel;;;
Intel Core i3-4160T;CPU;2014-07-21;220;350;1770;14000;31000;Intel;Intel;;;
AMD Sempron 130;CPU;2011-08-01;450;450;1170;2340;26000;Unknown;AMD;;;
Intel Atom N470;CPU;2010-03-01;450;70;660;1230;18340;Intel;Intel;;;
AMD Sempron 3100+;CPU;2005-05-03;900;620;;630;18000;Unknown;AMD;;;
Intel Core Duo LV L2500;CPU;2006-09-03;650;150;900;1510;18330;Intel;Intel;;;
AMD Sempron 2300+;CPU;2004-07-28;1300;620;800;370;15830;Unknown;AMD;;;
AMD A10-5700;CPU;2012-10-02;320;650;2460;11780;34000;Unknown;AMD;;;
AMD A4-1350;CPU;2013-10-18;320;80;2460;11780;10000;Unknown;AMD;;;
Intel Pentium III 1000;CPU;2001-06-01;1800;290;800;440;10000;Intel;Intel;;;
Intel Core i3-10100;CPU;2020-04-30;140;650;;;36000;Intel;Intel;;;
Intel Atom Z530;CPU;2008-04-02;450;20;260;470;16000;Intel;Intel;;;
Intel Xeon W3580;CPU;2009-08-09;450;1300;2630;7310;33330;Intel;Intel;;;
Intel Core i5-9600KF;CPU;2019-01-08;140;950;;;37000;Intel;Intel;;;
AMD Athlon 64 3800+;CPU;2006-05-23;900;620;1830;1540;24000;Unknown;AMD;;;
AMD Opteron 250;CPU;2004-12-01;900;850;;1060;24000;Unknown;AMD;;;
AMD Athlon 64 X2 4600+ EE;CPU;2006-05-23;900;650;2200;1540;24000;Unknown;AMD;;;
Intel Core i5-2435M;CPU;2011-09-01;320;350;1490;6240;24000;Intel;Intel;;;
AMD Athlon XP 2200+;CPU;2003-09-01;1300;630;;630;18000;Unknown;AMD;;;
AMD Athlon 1200;CPU;2000-10-17;1800;660;1200;370;12000;Unknown;AMD;;;
Intel Pentium III  800;CPU;2001-06-01;1800;380;800;440;8000;Intel;Intel;;;
AMD Athlon XP-M 2200+;CPU;2001-01-01;1300;450;1010;630;16670;Unknown;AMD;;;
Intel Pentium 4-M 1.40;CPU;2002-04-23;1300;210;1310;550;14000;Intel;Intel;;;
Intel Core i3-2377M;CPU;2012-09-01;320;170;1490;6240;15000;Intel;Intel;;;
Intel Atom D510;CPU;2009-12-21;450;130;660;1760;16670;Intel;Intel;;;
Intel Core i7-5775C;CPU;2015-05-15;140;650;;;33000;Intel;Intel;;;
Intel Core Duo T2250;CPU;2006-05-01;650;310;900;1510;17330;Intel;Intel;;;
Intel Atom N455;CPU;2010-06-01;450;70;660;1230;16670;Intel;Intel;;;
Intel Core i7-10510Y;CPU;2019-08-21;140;90;;;12000;Intel;Intel;;;
Intel Pentium D 840;CPU;2005-05-26;900;1300;2060;1690;32000;Intel;Intel;;;
Intel Xeon E5-2609 v2;CPU;2013-09-01;220;800;1600;14000;25000;Intel;Intel;;;
Intel Core 2 Duo E4600;CPU;2007-10-21;650;650;1110;1670;24000;Intel;Intel;;;
Intel Xeon E7-8893 v3;CPU;2015-06-01;220;1400;1600;14000;32000;Intel;Intel;;;
Intel Core i7-620M;CPU;2010-01-07;320;350;810;3840;26770;Intel;Intel;;;
AMD Phenom II X3 B75;CPU;2009-10-01;450;950;2580;7580;30000;Unknown;AMD;;;
AMD Athlon 64 3000+;CPU;2004-04-27;1300;890;1440;690;18000;Unknown;AMD;;;
AMD Athlon 64 3200+;CPU;2001-01-01;1300;890;1930;1050;22000;Unknown;AMD;;;
Intel Xeon 3.06;CPU;2003-07-14;1300;970;2370;2860;30660;Intel;Intel;;;
Intel Pentium 4 HT 520;CPU;2004-06-21;900;840;1090;1250;28000;Intel;Intel;;;
AMD Athlon 64 FX-51;CPU;2003-09-23;1300;890;1930;1050;22000;Unknown;AMD;;;
Intel Xeon E3-1280 v5;CPU;2015-10-19;140;800;1600;14000;37000;Intel;Intel;;;
AMD Athlon II X3 455;CPU;2010-12-07;450;950;1690;3000;33000;Unknown;AMD;;;
Intel Pentium 4 2.0;CPU;2001-01-01;1300;1100;1460;550;20000;Intel;Intel;;;
AMD Ryzen 7 2700;CPU;2018-04-19;120;650;1920;48000;32000;GF;AMD;;;
Intel Core i7-9700KF;CPU;2019-01-08;140;950;;;36000;Intel;Intel;;;
Intel Celeron 2.30;CPU;2003-03-31;1300;730;1460;550;23000;Intel;Intel;;;
AMD Athlon 750;CPU;2000-06-05;1800;430;1200;370;7500;Unknown;AMD;;;
AMD Sempron 150;CPU;2010-12-07;450;450;1170;2340;29000;Unknown;AMD;;;
AMD Athlon 1200;CPU;2000-10-31;1800;660;1200;370;12000;Unknown;AMD;;;
Intel Core 2 Duo T7600G;CPU;2006-12-27;650;350;1430;2930;23330;Intel;Intel;;;
Intel Core i5-8420;CPU;2018-09-01;140;650;;;29000;Intel;Intel;;;
Intel Core i7-3970X;CPU;2012-11-01;320;1500;4350;22700;35000;Intel;Intel;;;
AMD Mobile Athlon 64 3400+;CPU;2005-08-01;1300;620;1930;1060;22000;Unknown;AMD;;;
AMD Opteron 6168;CPU;2010-03-29;450;1150;3460;18000;19000;Unknown;AMD;;;
AMD Athlon X2 QL-65;CPU;2008-12-01;650;350;;;21000;Unknown;AMD;;;
AMD Athlon XP 2800+ DTR;CPU;2001-01-01;1300;680;1010;630;20830;Unknown;AMD;;;
Intel Atom E660;CPU;2010-09-14;450;30;260;470;13000;Intel;Intel;;;
Intel Core i5-3475S;CPU;2012-06-01;220;650;1600;14000;29000;Intel;Intel;;;
AMD C-50;CPU;2011-01-04;400;90;750;;10000;Unknown;AMD;;;
AMD Athlon 64 FX-74;CPU;2006-11-30;900;1250;2350;2270;30000;Unknown;AMD;;;
Intel Atom N280;CPU;2008-06-03;450;30;260;470;16670;Intel;Intel;;;
AMD Turion 64 ML-40;CPU;2005-06-22;900;350;1250;1140;22000;Unknown;AMD;;;
Intel Celeron 2.80;CPU;2003-11-03;1300;730;1460;550;28000;Intel;Intel;;;
Intel Pentium G630T;CPU;2011-09-04;320;350;1310;5040;23000;Intel;Intel;;;
AMD Phenom II X3 B73;CPU;2009-10-01;450;950;2580;7580;28000;Unknown;AMD;;;
AMD Ryzen 3 1300X;CPU;2017-07-27;140;650;1920;48000;34000;GF;AMD;;;
Intel Pentium M 715;CPU;2004-06-23;900;210;840;1400;15000;Intel;Intel;;;
Intel Xeon 5150;CPU;2006-06-26;650;650;;;26660;Intel;Intel;;;
Intel Pentium D 840 EE;CPU;2005-05-01;900;1300;2060;1690;32000;Intel;Intel;;;
AMD Athlon X2 4050e;CPU;2008-04-21;650;450;1260;1540;21000;Unknown;AMD;;;
Intel Core i7-4790S;CPU;2014-05-01;220;650;1770;14000;31000;Intel;Intel;;;
AMD Ryzen 5 PRO 3500U;CPU;2019-04-08;120;150;2100;49400;21000;GF;AMD;;;
Intel Xeon E3-1280;CPU;2011-04-03;320;950;2160;11600;35000;Intel;Intel;;;
Intel Core 2 Duo U7600;CPU;2007-04-27;650;100;1110;2930;12000;Intel;Intel;;;
AMD Athlon XP 2400+;CPU;2002-08-21;1300;680;800;630;20000;Unknown;AMD;;;
AMD E1-2100;CPU;2013-05-23;320;90;2460;11780;10000;Unknown;AMD;;;
AMD EPYC 7401P;CPU;2017-06-29;140;1700;2130;48000;20000;GF;AMD;;;
Intel Core i5-1135G7;CPU;2020-09-02;100;280;;;24000;Intel;Intel;;;
AMD Turion X2 Ultra ZM-87;CPU;2008-06-01;650;350;;;24000;Unknown;AMD;;;
Intel Xeon 7140M;CPU;2006-08-27;650;1500;4350;13280;34000;Intel;Intel;;;
Intel Xeon E5-2650 v2;CPU;2013-09-01;220;950;1600;14000;26000;Intel;Intel;;;
Intel Atom Z620;CPU;2010-05-04;450;10;650;1400;9000;Intel;Intel;;;
Intel Xeon 2.0;CPU;2002-02-25;1300;890;2170;550;20000;Intel;Intel;;;
AMD Phenom II X3 705e;CPU;2009-06-02;450;650;2580;7580;25000;Unknown;AMD;;;
Intel Pentium 4 511;CPU;2005-01-01;900;840;1090;1250;28000;Intel;Intel;;;
AMD Athlon XP 3000+;CPU;2001-01-01;1300;680;1010;630;21000;Unknown;AMD;;;
AMD Phenom II X3 700e;CPU;2009-06-02;450;650;2580;7580;24000;Unknown;AMD;;;
AMD Opteron 842;CPU;2003-09-09;1300;820;1930;1060;16000;Unknown;AMD;;;
AMD Sempron 3000+;CPU;2001-01-01;1300;250;1440;690;18000;Unknown;AMD;;;
Intel Pentium 4 1.8A;CPU;2001-07-02;1800;670;2170;420;18000;Intel;Intel;;;
Intel Core i5-8500T;CPU;2018-04-02;140;350;;;21000;Intel;Intel;;;
AMD Opteron X2 270 HE;CPU;2005-12-01;900;550;;2330;20000;Unknown;AMD;;;
Intel Xeon 7110M;CPU;2006-08-27;650;950;4350;13280;26000;Intel;Intel;;;
AMD FX-8140;CPU;2012-10-23;320;950;3150;12000;32000;Unknown;AMD;;;
Intel Atom D2550;CPU;2011-11-01;320;100;660;1760;18670;Intel;Intel;;;
Intel Celeron G3920;CPU;2015-09-01;140;510;1500;14000;29000;Intel;Intel;;;
AMD Ryzen 5 3400G;CPU;2019-07-07;120;650;2100;49400;37000;GF;AMD;;;
Intel Core i3-8145U;CPU;2018-10-01;100;280;1230;;21000;Intel;Intel;;;
AMD Athlon 64 X2 6000+;CPU;2007-02-20;900;1250;2200;2270;30000;Unknown;AMD;;;
AMD Ryzen 3 PRO 4350GE;CPU;2020-07-21;70;350;;;35000;TSMC;AMD;;;
Intel Core 2 Duo E6600;CPU;2006-07-27;650;650;1430;2910;24000;Intel;Intel;;;
AMD EPYC 7272;CPU;2019-08-07;70;1200;740;38000;26000;TSMC;AMD;;;
Intel Core i3-8350K;CPU;2017-10-05;140;910;;;40000;Intel;Intel;;;
AMD Athlon 64 LE-1660;CPU;2008-05-01;650;450;770;1220;28000;Unknown;AMD;;;
Intel Pentium SU4100;CPU;2009-09-01;450;100;1070;4100;13000;Intel;Intel;;;
AMD Athlon 64 2800+;CPU;2004-04-27;1300;890;1440;690;18000;Unknown;AMD;;;
AMD Turion X2 Ultra ZM-88;CPU;2008-12-01;650;350;;;25000;Unknown;AMD;;;
Intel Pentium M 765;CPU;2004-10-20;900;210;840;1400;21000;Intel;Intel;;;
Intel Core i3-350M;CPU;2010-01-07;320;350;810;3820;22670;Intel;Intel;;;
Intel Xeon Platinum 8352V;CPU;2021-04-06;100;1950;;;25000;Intel;Intel;;;
AMD Ryzen 5 5600G;CPU;2021-04-13;70;650;;;39000;TSMC;AMD;;;
AMD Phenom X3 8400;CPU;2008-03-27;650;950;2850;4500;21000;Unknown;AMD;;;
Intel Core i5-7500T;CPU;2017-01-03;140;350;;;27000;Intel;Intel;;;
Intel Core i7-8550U;CPU;2017-08-21;140;150;1230;;18000;Intel;Intel;;;
AMD Ryzen Threadripper 1920X;CPU;2017-08-10;140;1800;2130;96000;35000;GF;AMD;;;
Intel Core i5-1035G1;CPU;2019-08-01;100;250;;;10000;Intel;Intel;;;
Intel Celeron N2930;CPU;2014-02-23;220;70;;;18300;Intel;Intel;;;
Intel Pentium 4 2.4;CPU;2002-05-06;1300;920;1460;550;24000;Intel;Intel;;;
AMD EPYC 7551P;CPU;2017-06-29;140;1800;2130;48000;20000;GF;AMD;;;
AMD Athlon XP-M 2000+;CPU;2001-01-01;1300;450;1010;630;15330;Unknown;AMD;;;
Intel Core i3-2102;CPU;2011-06-01;320;650;1310;5040;31000;Intel;Intel;;;
AMD Ryzen 7 4700GE;CPU;2020-07-21;70;350;;;31000;TSMC;AMD;;;
AMD A6-3400M;CPU;2011-06-14;320;350;2280;11780;14000;Unknown;AMD;;;
AMD EPYC 7451;CPU;2017-06-29;140;1800;2130;48000;23000;GF;AMD;;;
Intel Atom Z510PT;CPU;2009-03-02;450;20;260;470;11000;Intel;Intel;;;
AMD Ryzen 7 PRO 3700U;CPU;2019-04-08;120;150;2100;49400;23000;GF;AMD;;;
AMD Athlon 64 X2 5200+;CPU;2006-09-06;900;890;2200;1540;26000;Unknown;AMD;;;
AMD Athlon 64 X2 4200+;CPU;2006-05-23;900;890;2200;1540;22000;Unknown;AMD;;;
Intel Pentium 4 HT 641;CPU;2006-01-05;650;860;810;1880;32000;Intel;Intel;;;
Intel Core M-5Y10a;CPU;2014-09-05;140;50;500;;8000;Intel;Intel;;;
AMD Athlon II X2 260;CPU;2010-05-11;450;650;1170;4100;32000;Unknown;AMD;;;
Intel Pentium 4 HT 524;CPU;2001-01-01;900;840;1090;1250;30600;Intel;Intel;;;
AMD Opteron 840;CPU;2004-05-18;1300;820;1930;1060;14000;Unknown;AMD;;;
AMD Athlon 64 X2 4600+;CPU;2008-04-22;650;650;1260;1540;24000;Unknown;AMD;;;
Intel Pentium 4-M 1.60;CPU;2002-03-04;1300;300;1310;550;16000;Intel;Intel;;;
Intel Pentium M 780;CPU;2005-07-25;900;270;840;1400;22600;Intel;Intel;;;
AMD A8-3850;CPU;2011-06-30;320;1000;2280;11780;29000;Unknown;AMD;;;
Intel Celeron G540T;CPU;2011-09-04;320;350;1310;5040;21000;Intel;Intel;;;
AMD Opteron 240 EE;CPU;2004-02-14;1300;300;1930;1060;14000;Unknown;AMD;;;
AMD Opteron 3380;CPU;2012-12-04;320;650;3150;12000;26000;Unknown;AMD;;;
Intel Core i7-640M;CPU;2010-09-01;320;350;810;3840;28000;Intel;Intel;;;
Intel Xeon E5-2403 v2;CPU;2013-09-01;220;800;1600;14000;18000;Intel;Intel;;;
Intel Pentium G640;CPU;2012-06-03;320;650;1310;5040;28000;Intel;Intel;;;
Intel Core 2 Duo U7500;CPU;2007-04-27;650;100;1110;2930;10730;Intel;Intel;;;
Intel Xeon E3-1230;CPU;2011-04-03;320;800;2160;11600;32000;Intel;Intel;;;
Intel Pentium Dual-Core E2160;CPU;2007-06-03;650;650;770;1050;18000;Intel;Intel;;;
Intel Pentium 997;CPU;2012-09-01;320;170;1310;5040;16000;Intel;Intel;;;
Intel Xeon Phi 7295;CPU;2017-12-01;140;3200;;80000;15000;Intel;Intel;;;
AMD Athlon II X3 440;CPU;2010-01-25;450;950;1690;3000;30000;Unknown;AMD;;;
AMD Phenom II X6 1055T (125W);CPU;2010-04-27;450;1250;3460;9040;28000;Unknown;AMD;;;
Intel Core i7-9750H;CPU;2019-04-23;140;450;1490;;26000;Intel;Intel;;;
AMD Ryzen 3 PRO 1300;CPU;2017-06-29;140;650;1920;48000;32000;GF;AMD;;;
Intel Core i5-3470S;CPU;2012-06-01;220;650;1330;;29000;Intel;Intel;;;
AMD Sempron 3100+;CPU;2005-01-01;900;250;;630;18000;Unknown;AMD;;;
Intel Xeon 5148;CPU;2006-06-26;650;400;;;23330;Intel;Intel;;;
AMD Athlon XP-M 3000+;CPU;2001-01-01;1300;450;1010;630;22000;Unknown;AMD;;;
Intel Core i5-7640X;CPU;2017-06-26;140;1120;;;39000;Intel;Intel;;;
AMD Sempron 2600+;CPU;2001-01-01;1300;620;1010;630;18330;Unknown;AMD;;;
AMD FX-8320E;CPU;2014-09-02;320;950;3150;12000;32000;Unknown;AMD;;;
AMD Athlon X2 5050e;CPU;2008-10-21;650;450;1260;1540;26000;Unknown;AMD;;;
AMD Ryzen 5 PRO 2500U;CPU;2019-01-08;140;150;2460;;20000;GF;AMD;;;
Intel Core i5-4690K;CPU;2014-06-02;220;880;1770;14000;35000;Intel;Intel;;;
Intel Core i7-4850EQ;CPU;2013-08-29;220;470;2640;14000;16000;Intel;Intel;;;
AMD EPYC 7301;CPU;2017-06-29;140;1700;2130;48000;22000;GF;AMD;;;
AMD EPYC 7551;CPU;2017-06-29;140;1800;2130;48000;20000;GF;AMD;;;
Intel Core i5-4440;CPU;2013-09-01;220;840;1770;14000;31000;Intel;Intel;;;
Intel Pentium G3460;CPU;2014-07-21;220;540;1770;14000;35000;Intel;Intel;;;
Intel Celeron G5900;CPU;2020-04-30;140;580;;;34000;Intel;Intel;;;
AMD Athlon 1300;CPU;2001-03-21;1800;680;1200;370;13000;Unknown;AMD;;;
Intel Xeon Phi 7210F;CPU;2016-06-20;140;2300;;80000;13000;Intel;Intel;;;
Intel Core 2 Duo U7700;CPU;2007-12-27;650;100;1110;2930;13330;Intel;Intel;;;
Intel Xeon E7-8860;CPU;2011-04-03;320;1300;5130;26000;22760;Intel;Intel;;;
AMD Opteron 2350 HE;CPU;2008-10-01;650;790;2850;4630;20000;Unknown;AMD;;;
Intel Xeon 3.06;CPU;2003-03-10;1300;890;2170;550;30660;Intel;Intel;;;
Intel Core i5-3610ME;CPU;2012-06-01;220;350;1180;;27000;Intel;Intel;;;
AMD Athlon 64 1500+;CPU;2005-11-07;900;90;840;690;10000;Unknown;AMD;;;
AMD Sempron 3100+;CPU;2005-04-01;900;620;840;630;18000;Unknown;AMD;;;
AMD Sempron 3400+;CPU;2006-05-23;900;620;1030;810;18000;Unknown;AMD;;;
AMD Mobile Athlon 64 3200+;CPU;2003-08-01;1300;820;1930;1060;20000;Unknown;AMD;;;
AMD Athlon 3000G;CPU;2019-11-20;140;350;1480;48000;35000;Unknown;AMD;;;
Intel Xeon X5687;CPU;2011-02-14;320;1300;2390;11700;36000;Intel;Intel;;;
AMD Phenom X3 8850;CPU;2008-10-21;650;950;2850;4500;25000;Unknown;AMD;;;
AMD Sempron 2200+;CPU;2004-08-01;1300;620;800;370;15000;Unknown;AMD;;;
Intel Pentium 4 1.9;CPU;2001-08-27;1800;690;2170;420;19000;Intel;Intel;;;
AMD Phenom X4 9600B;CPU;2008-04-28;650;950;2850;4500;23000;Unknown;AMD;;;
AMD Opteron 842;CPU;2004-12-01;900;850;;1060;16000;Unknown;AMD;;;
AMD Athlon XP 1800+;CPU;2002-06-10;1300;510;800;370;15330;Unknown;AMD;;;
Intel Xeon Platinum 8180M;CPU;2017-07-11;140;2050;;80000;25000;Intel;Intel;;;
Intel Core i3-2100T;CPU;2011-02-20;320;350;1310;5040;25000;Intel;Intel;;;
AMD Sempron 2600+;CPU;2004-07-28;900;250;;630;16000;Unknown;AMD;;;
AMD Athlon XP 2500+;CPU;2003-02-10;1300;680;1010;630;18330;Unknown;AMD;;;
Intel Pentium III  933;CPU;2001-06-01;1800;270;800;440;9330;Intel;Intel;;;
Intel Pentium P6100;CPU;2010-09-26;320;350;810;3840;20000;Intel;Intel;;;
Intel Core 2 Duo U7700;CPU;2008-02-27;650;100;1110;2930;13330;Intel;Intel;;;
Intel Celeron G1101;CPU;2010-01-07;320;730;810;3820;22660;Intel;Intel;;;
Intel Pentium M 760;CPU;2005-01-19;900;270;840;1400;20000;Intel;Intel;;;
AMD Opteron 3350 HE;CPU;2012-12-04;320;450;3150;12000;28000;Unknown;AMD;;;
